CEO_intent,CFO_intent,Analyst_intent,signal
EXPANSION,EXPANSION,EXPANSION,growth
EXPANSION,EXPANSION,COST_PRESSURE,growth
EXPANSION,EXPANSION,STRATEGIC_PROBING,growth
EXPANSION,EXPANSION,GENERAL_UPDATE,growth
EXPANSION,COST_PRESSURE,EXPANSION,risk
EXPANSION,COST_PRESSURE,COST_PRESSURE,risk
EXPANSION,COST_PRESSURE,STRATEGIC_PROBING,risk
EXPANSION,COST_PRESSURE,GENERAL_UPDATE,risk
EXPANSION,STRATEGIC_PROBING,EXPANSION,growth
EXPANSION,STRATEGIC_PROBING,COST_PRESSURE,growth
EXPANSION,STRATEGIC_PROBING,STRATEGIC_PROBING,growth
EXPANSION,STRATEGIC_PROBING,GENERAL_UPDATE,growth
EXPANSION,GENERAL_UPDATE,EXPANSION,growth
EXPANSION,GENERAL_UPDATE,COST_PRESSURE,growth
EXPANSION,GENERAL_UPDATE,STRATEGIC_PROBING,growth
EXPANSION,GENERAL_UPDATE,GENERAL_UPDATE,growth
COST_PRESSURE,EXPANSION,EXPANSION,neutral
COST_PRESSURE,EXPANSION,COST_PRESSURE,neutral
COST_PRESSURE,EXPANSION,STRATEGIC_PROBING,neutral
COST_PRESSURE,EXPANSION,GENERAL_UPDATE,neutral
COST_PRESSURE,COST_PRESSURE,EXPANSION,risk
COST_PRESSURE,COST_PRESSURE,COST_PRESSURE,risk
COST_PRESSURE,COST_PRESSURE,STRATEGIC_PROBING,risk
COST_PRESSURE,COST_PRESSURE,GENERAL_UPDATE,risk
COST_PRESSURE,STRATEGIC_PROBING,EXPANSION,neutral
COST_PRESSURE,STRATEGIC_PROBING,COST_PRESSURE,neutral
COST_PRESSURE,STRATEGIC_PROBING,STRATEGIC_PROBING,neutral
COST_PRESSURE,STRATEGIC_PROBING,GENERAL_UPDATE,neutral
COST_PRESSURE,GENERAL_UPDATE,EXPANSION,neutral
COST_PRESSURE,GENERAL_UPDATE,COST_PRESSURE,neutral
COST_PRESSURE,GENERAL_UPDATE,STRATEGIC_PROBING,neutral
COST_PRESSURE,GENERAL_UPDATE,GENERAL_UPDATE,neutral
STRATEGIC_PROBING,EXPANSION,EXPANSION,neutral
STRATEGIC_PROBING,EXPANSION,COST_PRESSURE,neutral
STRATEGIC_PROBING,EXPANSION,STRATEGIC_PROBING,neutral
STRATEGIC_PROBING,EXPANSION,GENERAL_UPDATE,neutral
STRATEGIC_PROBING,COST_PRESSURE,EXPANSION,risk
STRATEGIC_PROBING,COST_PRESSURE,COST_PRESSURE,risk
STRATEGIC_PROBING,COST_PRESSURE,STRATEGIC_PROBING,risk
STRATEGIC_PROBING,COST_PRESSURE,GENERAL_UPDATE,risk
STRATEGIC_PROBING,STRATEGIC_PROBING,EXPANSION,neutral
STRATEGIC_PROBING,STRATEGIC_PROBING,COST_PRESSURE,neutral
STRATEGIC_PROBING,STRATEGIC_PROBING,STRATEGIC_PROBING,neutral
STRATEGIC_PROBING,STRATEGIC_PROBING,GENERAL_UPDATE,neutral
STRATEGIC_PROBING,GENERAL_UPDATE,EXPANSION,neutral
STRATEGIC_PROBING,GENERAL_UPDATE,COST_PRESSURE,neutral
STRATEGIC_PROBING,GENERAL_UPDATE,STRATEGIC_PROBING,neutral
STRATEGIC_PROBING,GENERAL_UPDATE,GENERAL_UPDATE,neutral
GENERAL_UPDATE,EXPANSION,EXPANSION,neutral
GENERAL_UPDATE,EXPANSION,COST_PRESSURE,neutral
GENERAL_UPDATE,EXPANSION,STRATEGIC_PROBING,neutral
GENERAL_UPDATE,EXPANSION,GENERAL_UPDATE,neutral
GENERAL_UPDATE,COST_PRESSURE,EXPANSION,risk
GENERAL_UPDATE,COST_PRESSURE,COST_PRESSURE,risk
GENERAL_UPDATE,COST_PRESSURE,STRATEGIC_PROBING,risk
GENERAL_UPDATE,COST_PRESSURE,GENERAL_UPDATE,risk
GENERAL_UPDATE,STRATEGIC_PROBING,EXPANSION,neutral
GENERAL_UPDATE,STRATEGIC_PROBING,COST_PRESSURE,neutral
GENERAL_UPDATE,STRATEGIC_PROBING,STRATEGIC_PROBING,neutral
GENERAL_UPDATE,STRATEGIC_PROBING,GENERAL_UPDATE,neutral
GENERAL_UPDATE,GENERAL_UPDATE,EXPANSION,neutral
GENERAL_UPDATE,GENERAL_UPDATE,COST_PRESSURE,neutral
GENERAL_UPDATE,GENERAL_UPDATE,STRATEGIC_PROBING,neutral
GENERAL_UPDATE,GENERAL_UPDATE,GENERAL_UPDATE,neutral
