index,text,text_snippet,ground_truth_signal,finbert_signal,our_signal,finbert_sentiment,finbert_confidence,our_confidence,our_prediction,our_volatility,our_score,our_explanation,case_type
0,"We actually prosper and we push the growth of the economy.As such, if you don't have a negative externality, why would you impose a tax on a sector that you need the most at the moment.","We actually prosper and we push the growth of the economy.As such, if you don't have a negative externality, why would you impose a tax on a sector that you need the most at the...",growth,neutral,growth,neutral,80.7189,50.0,NEUTRAL,MEDIUM,0.6,"Signal=growth, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'STRATEGIC_PROBING': 1}, first_segment=(ANALYST) We actually prosper and we push the growth of the economy.",ours_correct_finbert_wrong
4,"On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been discovered.","On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integrated LNG business with tens of TCF of gas have been...",neutral,growth,neutral,positive,63.4056,100.0,NEUTRAL,LOW,0.0,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) On Mauritania and Senegal, those of you who know this project, it's clearly got the potential to be a long-term, large, integra...",ours_correct_finbert_wrong
5,"Now on costs, when we look at the Slide 11, I was hoping for more granularity on the kind of cost savings plan.","Now on costs, when we look at the Slide 11, I was hoping for more granularity on the kind of cost savings plan.",risk,neutral,risk,neutral,82.7953,100.0,NEUTRAL,LOW,-1.0,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 2}, first_segment=(CFO) Now on costs, when we look at the Slide 11",ours_correct_finbert_wrong
11,"But the comparisons on any given quarter can move around given the episodic nature of some of this.On the financing costs, I'll -- obviously, it's all blended in the sort of percentage of dollar versus euro in our funding cost is blended in.","But the comparisons on any given quarter can move around given the episodic nature of some of this.On the financing costs, I'll -- obviously, it's all blended in the sort of per...",risk,neutral,risk,neutral,90.8525,50.0,NEUTRAL,MEDIUM,-0.5,"Signal=risk, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'COST_PRESSURE': 1}, first_segment=(CFO) But the comparisons on any given quarter can move around given the episodic nature of some of this.",ours_correct_finbert_wrong
13,We are maintaining our cost discipline.,We are maintaining our cost discipline.,risk,neutral,risk,neutral,69.8946,100.0,NEUTRAL,LOW,-1.0,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(EXECUTIVE) We are maintaining our cost discipline.",ours_correct_finbert_wrong
14,"Our non-GAAP operating margin rate was 32.6%, up 1.4 points.","Our non-GAAP operating margin rate was 32.6%, up 1.4 points.",neutral,growth,neutral,positive,95.6448,100.0,NEUTRAL,LOW,0.0,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) Our non-GAAP operating margin rate was 32.6%, up 1.4 points.",ours_correct_finbert_wrong
16,"Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overseen by the Chief Transformation Officer.","Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overseen by the Chief Transformation Officer.",risk,growth,risk,positive,54.1317,100.0,NEUTRAL,LOW,-1.0,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(EXECUTIVE) Number one, it's obviously the normal cost reduction, which are in particular supported by our key deliverables which are overs...",ours_correct_finbert_wrong
17,"And then second, in terms of the accelerating growth, I think you mentioned government.","And then second, in terms of the accelerating growth, I think you mentioned government.",growth,neutral,growth,neutral,85.5174,50.0,UP,MEDIUM,0.5,"Signal=growth, dominant_intent=EXPANSION, counts={'EXPANSION': 1, 'GENERAL_UPDATE': 1}, first_segment=(CEO) And then second, in terms of the accelerating growth",ours_correct_finbert_wrong
19,"And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by what we see, so far.","And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue production, if you like, but we're very encouraged by wha...",neutral,growth,neutral,positive,90.8043,100.0,NEUTRAL,LOW,0.2,"Signal=neutral, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1}, first_segment=(EXECUTIVE) And the client feedback has been extremely positive ever since the announcement, so it's early days in terms of revenue product...",ours_correct_finbert_wrong
24,"This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in technology.","This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in technology.",risk,growth,risk,positive,95.002,100.0,NEUTRAL,LOW,-1.0,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(EXECUTIVE) This quarter, we showed continued cost discipline with reductions in every cost category, except for planned investments in tec...",ours_correct_finbert_wrong
27,"But we know we also need to continue to focus on generating further operational efficiency.In addition to the €2 billion of efficiency measures we announced in March 2022, which James will provide an update on later, we will focus our efforts on generating further incremental cost savings.","But we know we also need to continue to focus on generating further operational efficiency.In addition to the €2 billion of efficiency measures we announced in March 2022, which...",risk,growth,risk,positive,88.2329,50.0,NEUTRAL,MEDIUM,-0.5,"Signal=risk, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'COST_PRESSURE': 1}, first_segment=(CFO) But we know we also need to continue to focus on generating further operational efficiency.",ours_correct_finbert_wrong
28,"Because you run quite a significant currency mismatch in your Investment Bank, I mean, similarly to other kind of global institutions, you've got revenues in U.S. dollars and euros and you've got costs in sterling and U.S. dollars.","Because you run quite a significant currency mismatch in your Investment Bank, I mean, similarly to other kind of global institutions, you've got revenues in U.S. dollars and eu...",risk,neutral,risk,neutral,76.6101,75.0,NEUTRAL,MEDIUM,-0.25,"Signal=risk, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 3, 'COST_PRESSURE': 1}, first_segment=(CEO) Because you run quite a significant currency mismatch in your Investment Bank",ours_correct_finbert_wrong
30,"Internationally, we also made major advances.","Internationally, we also made major advances.",neutral,growth,neutral,positive,92.0095,100.0,NEUTRAL,LOW,0.0,"Signal=neutral, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1}, first_segment=(EXECUTIVE) Internationally, we also made major advances.",ours_correct_finbert_wrong
31,"Our customers tell us we are focused on what their employees value most: lower cost, simpler experiences and adaptable benefits.Consumer NPS for these new innovative products is some 20-plus points higher than traditional health plans.","Our customers tell us we are focused on what their employees value most: lower cost, simpler experiences and adaptable benefits.Consumer NPS for these new innovative products is...",risk,growth,risk,positive,75.128,66.67,NEUTRAL,MEDIUM,-0.26666666666666666,"Signal=risk, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'COST_PRESSURE': 1, 'GENERAL_UPDATE': 1}, first_segment=(ANALYST) Our customers tell us we are focused on what their employees value most",ours_correct_finbert_wrong
36,"Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were taken in 2017, and our results also include the timing benefit from the retroactive revenue adjustments in our Medicaid business.Our continued focus on deploying effective medical cost of care initiatives across the enterprise is bearing fruit as evidenced by our gross margin results in the quarter.","Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were taken in 2017, and our results also include the tim...",risk,growth,risk,positive,95.7676,50.0,NEUTRAL,MEDIUM,-0.5,"Signal=risk, dominant_intent=GENERAL_UPDATE, counts={'GENERAL_UPDATE': 1, 'COST_PRESSURE': 1}, first_segment=(CEO) Additionally, we improved the financial performance in our Individual business as a result of the strategic actions that were t...",ours_correct_finbert_wrong
39,You want some of these expenses to go up because that means that good revenues are going up.,You want some of these expenses to go up because that means that good revenues are going up.,risk,growth,risk,positive,90.9259,100.0,NEUTRAL,LOW,-1.0,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1}, first_segment=(EXECUTIVE) You want some of these expenses to go up because that means that good revenues are going up.",ours_correct_finbert_wrong
40,"The average cost of gross debt was 2.8%, up 10 basis points compared with December 2019.","The average cost of gross debt was 2.8%, up 10 basis points compared with December 2019.",risk,growth,risk,positive,95.571,50.0,NEUTRAL,MEDIUM,-0.5,"Signal=risk, dominant_intent=COST_PRESSURE, counts={'COST_PRESSURE': 1, 'GENERAL_UPDATE': 1}, first_segment=(CFO) The average cost of gross debt was 2.",ours_correct_finbert_wrong
42,"And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scenario?And then secondly, on the group targets, you've obviously revised higher the cost income ratio, but you've managed to also maintain the RFP target.","And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scenario?And then secondly, on the group targets, you'...",risk,growth,risk,positive,87.366,50.0,NEUTRAL,MEDIUM,-0.4,"Signal=risk, dominant_intent=STRATEGIC_PROBING, counts={'STRATEGIC_PROBING': 1, 'COST_PRESSURE': 1}, first_segment=(ANALYST) And could you also just tell us which sort of industries and parts of the corporate book is under most stressed under this scen...",ours_correct_finbert_wrong
